,Title,Brand,Available,OriginalPrice,SalePrice,Discount,Sku,Link,Category
0,CURVE MUSLIN SHIRT,lama-retail,True,"Rs.7,950.00","Rs.7,950.00",,WAS24TP090-T0X-BLK,https://lamaretail.com/collections/true-body/products/curve-muslin-shirt-was24tp090-black,WOMAN
1,BILLIE MINI STILETTO,lama-retail,True,"Rs.7,450.00","Rs.7,450.00",,WFS25HL004-036-BRN,https://lamaretail.com/collections/woman-shoes-new-in/products/woman-heels-wfs25hl004-brown,WOMAN
2,COTTON BODYSUIT,lama-retail,True,"Rs.3,950.00","Rs.3,950.00",,WAS25TP139-XSM-DGR,https://lamaretail.com/collections/woman-spring-summer-25/products/woman-body-suit-cami-was25tp139-dark-grey,WOMAN
3,SOFT BUCKLE PUMPS,lama-retail,True,"Rs.7,450.00","Rs.7,450.00",,WFS25PM003-036-DIP,https://lamaretail.com/collections/woman-shoes-new-in/products/woman-pumps-wfs25pm003-dirty-pink,WOMAN
4,CURVE MUSLIN SHIRT,lama-retail,True,"Rs.7,950.00","Rs.7,950.00",,WAS24TP090-T0X-BEG,https://lamaretail.com/collections/true-body/products/curve-muslin-shirt-was24tp090-beige,WOMAN
5,EVERYWEAR SHOULDER BAG,lama-retail,True,"Rs.9,450.00","Rs.9,450.00",,WCS25BG016-UNI-COF,https://lamaretail.com/collections/woman-bags/products/woman-shoulder-wcs25bg016-coffee,WOMAN
6,CURVE MUSLIN PANTS,lama-retail,True,"Rs.6,450.00","Rs.6,450.00",,WAS24BT004-T0X-CML,https://lamaretail.com/collections/true-body/products/curve-muslin-pants-was24bt004-camel,WOMAN
7,SPICE & LILY,lama-retail,True,"Rs.7,450.00","Rs.7,450.00",,UCW24FG002-100-CLR,https://lamaretail.com/collections/fragrance/products/spice-lily-ucw24fg002-clear,WOMAN
8,GOLD BUCKLE SLIDES,lama-retail,True,"Rs.5,950.00","Rs.5,950.00",,WFS25SL032-036-OTW,https://lamaretail.com/collections/woman-shoes-new-in/products/woman-slides-wfs25sl032-oat-white,WOMAN
9,SAGE & VELVET,lama-retail,True,"Rs.7,450.00","Rs.7,450.00",,OMGPRF0013-100-CLR,https://lamaretail.com/collections/fragrance/products/sage-velvet-omgprf0013-beige,WOMAN
10,JUST ANOTHER BRAND OVERSIZED TEE,lama-retail,True,"Rs.3,450.00","Rs.3,450.00",,WAS25TP116-XSM-ITC,https://lamaretail.com/collections/woman-t-shirts/products/oversized-tee-was25tp116-italian-clay,WOMAN
11,LINEN SAINT TROPEZ BLOUSE,lama-retail,True,"Rs.6,450.00","Rs.6,450.00",,WAS25TP022-XSM-BLU,https://lamaretail.com/collections/woman-spring-summer-25/products/woman-shirt-blouse-was25tp022-blue,WOMAN
12,WEEKEND TOTE,lama-retail,True,"Rs.11,450.00","Rs.11,450.00",,WCS25BG020-UNI-BRN,https://lamaretail.com/collections/woman-bags/products/woman-tote-wcs25bg020-brown,WOMAN
13,CURVE MUSLIN PANTS,lama-retail,True,"Rs.6,450.00","Rs.6,450.00",,WAS24BT004-T0X-BLK,https://lamaretail.com/collections/true-body/products/curve-muslin-pants-was24bt004-black,WOMAN
14,CHAI CLUB OVERSIZED TEE,lama-retail,True,"Rs.3,450.00","Rs.3,450.00",,WAS25TP119-XSM-TPE,https://lamaretail.com/collections/woman-t-shirts/products/oversized-tee-was25tp119-taupe,WOMAN
15,BERGAMOT OUD,lama-retail,True,"Rs.7,450.00","Rs.7,450.00",,UCW24FG001-100-CLR,https://lamaretail.com/collections/fragrance/products/bergamot-oud-ucw24fg001-clear,WOMAN
16,CROPPED BUTTON DOWN,lama-retail,True,"Rs.7,450.00","Rs.7,450.00",,LEKWST0022-SML-BRN,https://lamaretail.com/collections/woman-spring-summer-25/products/womens-shirt-lekwst0022-brown,WOMAN
17,PATCHOULI & JASMINE,lama-retail,True,"Rs.7,450.00","Rs.7,450.00",,UCW24FG003-100-CLR,https://lamaretail.com/collections/fragrance/products/patchouli-jasmine-ucw24fg003-clear,WOMAN
18,VARSITY DAY BAG,lama-retail,True,"Rs.9,450.00","Rs.9,450.00",,WCS25BG019-UNI-TAN,https://lamaretail.com/collections/woman-bags/products/woman-shoulder-wcs25bg019-tan,WOMAN
19,BOARDROOM TOTE,lama-retail,True,"Rs.10,950.00","Rs.10,950.00",,WCS25BG014-UNI-KHI,https://lamaretail.com/collections/woman-bags/products/woman-shoulder-wcs25bg014-khaki,WOMAN
