Title,Company Name,Location,Salary,Required Skills,Job Type,Job Description,Job Link
Software Engineer,Croem Inc,"Islamabad ,
Pakistan, Pakistan",Not Available,DotNet,,"Croem Inc is seeking a talented Software Engineer to join our innovative team. The ideal candidate will have a strong background in software development, specifically with experience in the .NET framework. You will work collaboratively in an agile environment, contributing to the design, implementation, and maintenance of software applications. As a Software Engineer, you will engage with cross-functional teams to identify requirements and create solutions that meet customer needs. This role is essential in ensuring the performance and reliability of our software products while adhering to best coding practices and standards. You will not be required to manage a team, allowing you to focus solely on your technical contributions and growth within the organization.",https://www.rozee.pk/croem-inc-software-engineer-islamabad-jobs-1575616?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1575616&utm_campaign=ROZEE.PK_job_search
Software Engineer,St. Michael Llc,"Karachi ,
Pakistan, Pakistan",Not Available,"Java
 C++
 JavaScript",,"St. Michael LLC is seeking a skilled Software Engineer to join our dynamic team. The ideal candidate will have a strong background in software development and experience with programming languages such as Java, C++, and JavaScript. This role is crucial in building and maintaining software solutions that meet the needs of our clients. In this position, the Software Engineer will work closely with project managers and other stakeholders to enhance the overall functionality and user experience of applications. The role does not require team management duties but emphasizes collaboration within a team environment to achieve common project goals.",https://www.rozee.pk/st-michael-llc-software-engineer-karachi-jobs-1574384?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1574384&utm_campaign=ROZEE.PK_job_search
Software Engineer,Wayne Enterprises,"All Cities ,
Pakistan, Pakistan",Not Available,JavaScript,,"Wayne Enterprises is seeking a skilled Software Engineer to join our innovative team. In this dynamic role, you will contribute to designing, developing, and maintaining software applications that enhance the operational capabilities of our organization. You will collaborate closely with cross-functional teams to create robust, scalable, and efficient software solutions. The ideal candidate will have a strong proficiency in JavaScript and be ready to engage with cutting-edge technologies to drive project success. As a team leader, you will oversee a team of three talented engineers, providing mentorship and guidance to ensure optimal performance and collaboration within the group. Your leadership will be essential in fostering a positive development environment and driving continuous improvement within the team. We welcome individuals who are passionate about technology and eager to contribute to projects that make a difference. We provide a supportive culture that encourages professional development, and we are excited to find a candidate who aligns with our mission to innovate and excel in the field of software engineering.",https://www.rozee.pk/wayne-enterprises-software-engineer-all-cities-jobs-1573006?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1573006&utm_campaign=ROZEE.PK_job_search
Software Engineer,Xoftex,"Lahore ,
Pakistan, Pakistan",Not Available,"AngularJS
 .Net
 Microsoft .NET",,"We are looking for a Software Engineer to join our growing Engineering team and build out the next generation of our platform. The ideal candidate is a hands-on platform builder with significant experience in developing scalable data platforms. We’re looking for someone with experience in business intelligence, analytics, data science and data products. They must have strong, firsthand technical expertise in a variety of configuration management and big data technologies and the proven ability to fashion robust scalable solutions that can manage large data sets. They must be at ease working in an agile environment with little supervision. This person should embody a passion for continuous improvement and test-driven development.",https://www.rozee.pk/xoftex-software-engineer-lahore-jobs-1569090?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1569090&utm_campaign=ROZEE.PK_job_search
Software Engineer,Softo Tech,"Islamabad ,
Pakistan, Pakistan",Not Available,"Abilities Of Team Work
 Knowledge of AI
 Knowledge of Digital Marketing",,"We are looking for a Software Engineer to join our growing Engineering team and build out the next generation of our platform. The ideal candidate is a hands-on platform builder with significant experience in developing scalable data platforms. We’re looking for someone with experience in business intelligence, analytics, data science and data products. They must have strong, firsthand technical expertise in a variety of configuration management and big data technologies and the proven ability to fashion robust scalable solutions that can manage large data sets. They must be at ease working in an agile environment with little supervision. This person should embody a passion for continuous improvement and test-driven development.",https://www.rozee.pk/softo-tech-software-engineer-islamabad-jobs-1572190?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1572190&utm_campaign=ROZEE.PK_job_search
Software Engineer,Digi Soft,"Karachi ,
Pakistan, Pakistan",Not Available,"AngularJS
 MVC
 RESTful APIs
 ASP.net",,"We are looking for a Software Engineer to join our growing Engineering team and build out the next generation of our platform. The ideal candidate is a hands-on platform builder with significant experience in developing scalable data platforms. We’re looking for someone with experience in business intelligence, analytics, data science and data products. They must have strong, firsthand technical expertise in a variety of configuration management and big data technologies and the proven ability to fashion robust scalable solutions that can manage large data sets. They must be at ease working in an agile environment with little supervision. This person should embody a passion for continuous improvement and test-driven development.",https://www.rozee.pk/digi-soft-software-engineer-karachi-jobs-1569468?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1569468&utm_campaign=ROZEE.PK_job_search
Software Engineer - SQL Database,The Shams Group,"Multiple Cities,
Pakistan, Pakistan",Not Available,"End to End Sales
 Microsoft SQL Database
 Software Development
 Data Management
 HTML
 JavaScript
 .NET Framework
 PowerShell",,"We are looking for a qualified Database developer to design stable and reliable databases, according to our companys needs. You will be responsible for developing, testing, improving and maintaining new and existing databases to help users retrieve data effectively.",https://www.rozee.pk/the-shams-group-software-engineer-sql-database-islamabad-faisalabad-hyderabad-karachi-lahore-multan-peshawar-quetta-jobs-1570546?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1570546&utm_campaign=ROZEE.PK_job_search
Software Engineer,Universal Technology Systems and Associates LLC,"McKinney ,
USA, USA","PKR. 600,000+/Month","Jira Configuration
 Backend Development
 Frontend Coding
 HTML",,"We are looking for a qualified Database developer to design stable and reliable databases, according to our companys needs. You will be responsible for developing, testing, improving and maintaining new and existing databases to help users retrieve data effectively.",https://www.rozee.pk/universal-technology-systems-and-associates-llc-software-engineer-mckinney-jobs-1567466?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1567466&utm_campaign=ROZEE.PK_job_search
Software Engineer,MATZ Solutions Pvt Ltd,"Karachi ,
Pakistan, Pakistan","PKR. 50,000 - 150,000/Month","NodeJs
 React
 CSS
 HTML
 Executing Content
 Angular
 React JS
 Automation Languages Command
 JavaScript",,"We are looking for talented and motivated Software Engineers to join our dynamic team. As a Software Engineer, you will be responsible for designing, developing, and maintaining high-quality applications and systems that meet our clients' needs. This is an excellent opportunity to work in a collaborative and innovative environment.",https://www.rozee.pk/matz-solutions-pvt-ltd-software-engineer-karachi-jobs-1566824?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1566824&utm_campaign=ROZEE.PK_job_search
Senior Software Engineer,Pakistan Single Window,"Karachi ,
Pakistan, Pakistan","PKR. 200,000 - 250,000/Month","jQuery
 ASP.net
 Software Development
 JavaScript
 Software Analysis
 Software Design",,Main Responsibilities:,https://www.rozee.pk/pakistan-single-window-senior-software-engineer-karachi-jobs-1571894?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1571894&utm_campaign=ROZEE.PK_job_search
Principal Software Engineer,Pakistan Single Window,"Karachi ,
Pakistan, Pakistan",Not Available,"ASP.net
 .NET Core
 DOCKER
 Bootstrap
 Rest API
 Microsoft SQL Server
 REACT.JS
 C
 #.Net",,Main Responsibilities:,https://www.rozee.pk/pakistan-single-window-principal-software-engineer-karachi-jobs-1571890?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1571890&utm_campaign=ROZEE.PK_job_search
Software Engineer (Node.Js),MMC,"Islamabad ,
Pakistan, Pakistan",Not Available,"Node.js
 RESTful APIs
 Mongodb
 PostgreSQL
 CI/CD
 DOCKER
 kubernate",,"MMC is seeking a skilled Software Engineer with expertise in Node.Js to join our dynamic team. In this role, you will play a crucial part in designing, developing, and maintaining high-performance web applications. The ideal candidate is proficient in building RESTful APIs and has strong experience with databases like MongoDB and PostgreSQL. This position also requires a solid understanding of CI/CD processes and experience with containerization technologies such as Docker and Kubernetes. While the role does not involve direct team management, the individual is expected to contribute to knowledge sharing and mentor junior developers, fostering a collaborative and innovative Agile environment. As a Software Engineer at MMC, you will be involved in troubleshooting and optimizing application performance, ensuring our systems operate efficiently and effectively. You will work closely with cross-functional teams to deliver high-quality software solutions that enhance user experience and meet business objectives. Your ability to adapt to challenges and provide innovative solutions will be key to your success in this role. If you are looking to grow your career in a supportive and exciting environment, we invite you to apply.",https://www.rozee.pk/mmc-software-engineer-nodejs-islamabad-jobs-1568810?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1568810&utm_campaign=ROZEE.PK_job_search
Software Support Engineer,The Shams Group,"Multiple Cities,
Pakistan, Pakistan","PKR. 70,000 - 200,000/Month","Software Development
 T-SQL
 MySQL Server
 .Net
 C
 #Git",,Only qualified candidates with relevant skills and experience (if applicable) will be considered.,https://www.rozee.pk/the-shams-group-software-support-engineer-islamabad-faisalabad-hyderabad-karachi-lahore-multan-quetta-rawalpindi-jobs-1567332?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1567332&utm_campaign=ROZEE.PK_job_search
